"date","region","country","ISO2","ISO3","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-07,"Jharkhand","India","IN","IND",0.0159574468085106,0,0.0338700130185185,0.0106382978723404,0,0.0253033221764202,0.0212765957446809,0.000648923402348942,0.0419042680870128,0.0118050650792049,0.00967866559854792,0.0139314645598619
2020-05-07,"Karnataka","India","IN","IND",0.0043956043956044,0,0.0104740858343399,0.0043956043956044,0,0.0104740858343399,0.0153846153846154,0.00407575029745966,0.0266934804717711,0.00136844287787684,0.000901868981353999,0.00183501677439968
2020-05-07,"Kerala","India","IN","IND",0,0,0,0,0,0,0,0,0,0.0018367006177993,0.00121061995263184,0.00246278128296675
2020-05-07,"Ladakh","India","IN","IND",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"Madhya Pradesh","India","IN","IND",0.00432900432900433,0,0.0103155877876534,0.00432900432900433,0,0.0103155877876534,0.0194805194805195,0.00687805496112662,0.0320829839999123,0.0159210903286539,0.0143515912725716,0.0174905893847361
2020-05-07,"Maharashtra","India","IN","IND",0.00336700336700337,0,0.00802548379012094,0.00168350168350168,0,0.00498032573781202,0.0117845117845118,0.00310617511633683,0.0204628484526867,0.00508226923321263,0.00429678159777648,0.00586775686864878
2020-05-07,"Manipur","India","IN","IND",0,0,0,0,0,0,0,0,0,0.00117924528301887,0,0.00281260191394533
2020-05-07,"Meghalaya","India","IN","IND",0.0454545454545455,0,0.132495514436018,0.0454545454545455,0,0.132495514436018,0.0909090909090909,0,0.211037040800892,0.0891938250428816,0.0728339797136406,0.105553670372123
2020-05-07,"Mizoram","India","IN","IND",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"NCT of Delhi","India","IN","IND",0.00256410256410256,0,0.00758320409584548,0.00256410256410256,0,0.00758320409584548,0.0153846153846154,0.00316964501409308,0.0275995857551377,0.002322206095791,0.00166602549621773,0.00297838669536427
2020-05-07,"Nagaland","India","IN","IND",0,0,0,0,0,0,0,0,0,0.164889253486464,0.144058045729905,0.185720461243024
2020-05-07,"Odisha","India","IN","IND",0,0,0,0,0,0,0.0125523012552301,0,0.0266668782923978,0.04136733243862,0.0378994363474824,0.0448352285297577
2020-05-07,"Puducherry","India","IN","IND",0,0,0,0,0,0,0,0,0,0.00157232704402516,0,0.00465160774558715
2020-05-07,"Punjab","India","IN","IND",0.00696864111498258,0,0.0165927975536383,0.00696864111498258,0,0.0165927975536383,0.0139372822299652,0.000374510281990736,0.0275000541779396,0.012556470900877,0.0107776143907035,0.0143353274110504
2020-05-07,"Rajasthan","India","IN","IND",0.00738007380073801,0.000174471395399941,0.0145856762060761,0.003690036900369,0,0.0087946289409171,0.0166051660516605,0.00584710460650555,0.0273632274968155,0.026254069380754,0.0243999533203596,0.0281081854411484
2020-05-07,"Sikkim","India","IN","IND",0,0,0,0,0,0,0,0,0,0.00235849056603774,0,0.00502417577642729
2020-05-07,"Tamil Nadu","India","IN","IND",0.00568181818181818,0,0.0135338692555649,0,0,0,0.0113636363636364,0.000290931774544922,0.0224363409527278,0.00295651239047465,0.00217631678409962,0.00373670799684969
2020-05-07,"Telangana","India","IN","IND",0.00606060606060606,0,0.0128978877276755,0,0,0,0.00606060606060606,0,0.0128978877276755,0.00469788404247193,0.00386960763356642,0.00552616045137743
2020-05-07,"Tripura","India","IN","IND",0.0465116279069767,0,0.109455337402594,0,0,0,0.0697674418604651,0,0.145911502036559,0.00131636682755595,0,0.00280496800945426
2020-05-07,"Uttar Pradesh","India","IN","IND",0.00694444444444444,0,0.0147753456373013,0.00231481481481481,0,0.00684651433659382,0.00925925925925926,0.000227458449166629,0.0182910600693519,0.00227640852777656,0.00165838964620499,0.00289442740934814
2020-05-07,"Uttarakhand","India","IN","IND",0,0,0,0,0,0,0.016304347826087,0,0.0346030914008677,0.0138158573048768,0.0114928395005116,0.016138875109242
2020-05-07,"West Bengal","India","IN","IND",0.00383141762452107,0,0.00913121183220225,0,0,0,0.0153256704980843,0.00478741097790725,0.0258639300182613,0.0202104499274311,0.0185490932667558,0.0218718065881063
2020-05-08,"-99","India","IN","IND",0.00741412832145172,0.00655805844070888,0.00827019820219455,0.00461438755670771,0.00393807439863349,0.00529070071478193,0.0125729099157485,0.011461010391139,0.0136848094403581,0.00910333790692937,0.0089729127920109,0.00923376302184783
2020-05-08,"Andaman and Nicobar","India","IN","IND",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,"Andhra Pradesh","India","IN","IND",0.0027359781121751,0,0.0065225899439728,0.0027359781121751,0,0.0065225899439728,0.00820793433652531,0.00166734843243492,0.0147485202406157,0.00857868546547792,0.00765848178750204,0.0094988891434538
2020-05-08,"Arunachal Pradesh","India","IN","IND",0.0238095238095238,0,0.0699164408379719,0.0238095238095238,0,0.0699164408379719,0.0238095238095238,0,0.0699164408379719,0.045822102425876,0.0371357450523525,0.0545084597993996
2020-05-08,"Assam","India","IN","IND",0.00227790432801822,0,0.00673742689436013,0.00227790432801822,0,0.00673742689436013,0.0136674259681093,0.00280639920086288,0.0245284527353558,0.00661881634933597,0.00557691637742633,0.0076607163212456
2020-05-08,"Bihar","India","IN","IND",0.00963855421686747,0.00299176579453153,0.0162853426392034,0.00602409638554217,0.000759768528167168,0.0112884242429172,0.0132530120481928,0.00547319747628832,0.0210328266200972,0.0181834774474687,0.016932610719627,0.0194343441753104
2020-05-08,"Chandigarh","India","IN","IND",0.0215827338129496,0,0.0457404554212411,0.0143884892086331,0,0.0341855707575868,0.0143884892086331,0,0.0341855707575868,0.0146294777139732,0.0118778808431445,0.0173810745848019
2020-05-08,"Chhattisgarh","India","IN","IND",0.00595238095238095,0,0.0175840598337412,0.00595238095238095,0,0.0175840598337412,0.0119047619047619,0,0.0283051154490187,0.00179694519317161,0.000917249677086853,0.00267664070925636
2020-05-08,"Dadra and Nagar Haveli","India","IN","IND",0,0,0,0,0,0,0,0,0,0.00314465408805031,0,0.00929836431956434
2020-05-08,"Daman and Diu","India","IN","IND",0,0,0,0,0,0,0,0,0,0.00628930817610063,0,0.0185773009704059
2020-05-08,"Goa","India","IN","IND",0,0,0,0,0,0,0,0,0,0.000554938956714761,0,0.00132381754992996
2020-05-08,"Gujarat","India","IN","IND",0.0125448028673835,0.00331012794564879,0.0217794777891182,0.00537634408602151,0,0.011443762028722,0.0161290322580645,0.00567691629233892,0.0265811482237901,0.0151417634903967,0.0137487425386774,0.0165347844421159
2020-05-08,"Haryana","India","IN","IND",0.00870827285921625,0.00177073709195861,0.0156458086264739,0.00435413642960813,0,0.00927047680946967,0.0130624092888244,0.00458437889409437,0.0215404396835544,0.00801955453022438,0.00710342165989165,0.00893568740055711
2020-05-08,"Himachal Pradesh","India","IN","IND",0.00636942675159236,0,0.0151686819569136,0.00318471337579618,0,0.00941668959864465,0.00636942675159236,0,0.0151686819569136,0.00787165004206225,0.00652900209840424,0.00921429798572027
2020-05-08,"Jammu and Kashmir","India","IN","IND",0,0,0,0,0,0,0,0,0,0.000802890405459655,0,0.00191517249954892
2020-05-08,"Jharkhand","India","IN","IND",0.0138121546961326,0.00178939005371428,0.0258349193385509,0.00828729281767956,0,0.0176261360875357,0.0138121546961326,0.00178939005371428,0.0258349193385509,0.0122824439450165,0.0107217586542785,0.0138431292357545
2020-05-08,"Karnataka","India","IN","IND",0.00378310214375788,0,0.00805590133786499,0.00252206809583859,0,0.00601300138489626,0.00882723833543506,0.00231697429170276,0.0153375023791674,0.00577248765594065,0.00504730683559377,0.00649766847628753
2020-05-08,"Kerala","India","IN","IND",0.00837520938023451,0.00106495567036994,0.0156854630900991,0.0050251256281407,0,0.0106971807688572,0.0150753768844221,0.00530083274579312,0.0248499210230511,0.00139293402557933,0.000981642636310328,0.00180422541484834
2020-05-08,"Ladakh","India","IN","IND",0,0,0,0,0,0,0,0,0,0,0,0
