"ISO2","ISO_3","country_agg","region_agg","date","count","cli","cli_weight","cliWHO","cliWHO_weight","cli_local","count_local","weight","count_7days","cli_7days","cli_weight_7days","cliWHO_7days","cliWHO_weight_7days","cli_local_7days","count_local_7days","weight_7days","p_cli","p_cli_weight","p_cliWHO","p_cliWHO_weight","p_cli_local","p_cli_7days","p_cliWHO_7days","p_cli_local_7days","p_cli_smooth","p_cli_weight_smooth","p_cliWHO_smooth","p_cliWHO_weight_smooth","p_cli_local_smooth","slope_cli_smooth_7days","slope_cliWHO_smooth_7days","slope_cli_weight_smooth_7days","slope_cliWHO_weight_smooth_7days","slope_cli_local_smooth_7days"
"IN","IND","India","Telangana",2020-12-22,263,0,0,0,0,35,250,14339370.181835,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00197183098591549,NA,NA,NA,0.00515938453061567,0.00373537540021099,0.00145526810267461,0.000818799444120549,0.00254794655970052,NA,NA,NA,NA,NA
"IN","IND","India","Uttar Pradesh",2020-12-22,284,3,487888.625962993,1,136950.504606681,34,266,36714735.1365367,NA,NA,NA,NA,NA,NA,NA,NA,0.0105633802816901,0.013288632592571,0.00352112676056338,0.00373012372545743,0.00180027533622789,NA,NA,NA,0.00929201794653127,0.0120433634235605,0.00182688362169837,0.00157047081790316,0.00180276683910926,NA,NA,NA,NA,NA
"IN","IND","India","Uttarakhand",2020-12-22,100,3,144398.370071416,1,11810.1484811477,38,95,4857034.70507082,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.029729738171453,0.01,0.00243155530036006,0.00563380281690141,NA,NA,NA,0.00545037274269549,0.00519775961893093,0.00191965229968259,0.000903577072642486,0.00226100605479752,NA,NA,NA,NA,NA
"IN","IND","India","West Bengal",2020-12-22,286,3,369195.105352509,0,0,61,278,26213154.7474716,NA,NA,NA,NA,NA,NA,NA,NA,0.0104895104895105,0.0140843446318921,0,0,0.00309048535819232,NA,NA,NA,0.00821391039560881,0.00708990994099902,0.00117946894655261,0.000947893174707998,0.00310970786843953,NA,NA,NA,NA,NA
"IN","IND","India","Andhra Pradesh",2020-12-23,235,0,0,0,0,46.5,222,16579348.9756065,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00295013323182337,NA,NA,NA,0.00217285648154119,0.00189232676158567,2.23082337920441e-06,4.46783687084348e-06,0.0022257652600894,NA,NA,NA,NA,NA
"IN","IND","India","Assam",2020-12-23,100,0,0,0,0,4,92,10549202.7311446,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.000612369871402327,NA,NA,NA,0.00418381254756634,0.00233934331086759,0.0015147410391851,0.00104759054939283,0.00188432173099244,NA,NA,NA,NA,NA
"IN","IND","India","Bihar",2020-12-23,284,4,378398.539669783,1,24810.0377300885,38,257,31647644.7094899,NA,NA,NA,NA,NA,NA,NA,NA,0.0140845070422535,0.0119566098249427,0.00352112676056338,0.000783945786734927,0.00208253411519702,NA,NA,NA,0.0100488019506444,0.0107353673271054,0.00258688806169035,0.00251782390556887,0.00209221018012793,NA,NA,NA,NA,NA
"IN","IND","India","Chandigarh",2020-12-23,100,1,99295.4691837912,0,0,27,98,5112521.91120242,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.0194220134228115,0,0,0.00388042540960046,NA,NA,NA,0.0103118400779349,0.0107405106977573,0.00283819471291975,0.000975883374727943,0.00370276318451142,NA,NA,NA,NA,NA
"IN","IND","India","Chhattisgarh",2020-12-23,100,0,0,0,0,9,94,11664951.1000524,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00134851663170512,NA,NA,NA,0.0125555849486584,0.00995138417872365,0.00359109947447954,0.00298398468890917,0.00269079360463429,NA,NA,NA,NA,NA
"IN","IND","India","Gujarat",2020-12-23,254,2,94359.3895013388,0,0,21,238,20879763.3840502,NA,NA,NA,NA,NA,NA,NA,NA,0.0078740157480315,0.00451917906183835,0,0,0.00124275062137531,NA,NA,NA,0.00782757957026276,0.00683250511909021,0.00148982869341276,0.00108985297293429,0.00260567560113382,NA,NA,NA,NA,NA
"IN","IND","India","Haryana",2020-12-23,178,1,189510.517723941,1,189510.517723941,44,169,9295487.68089824,NA,NA,NA,NA,NA,NA,NA,NA,0.00561797752808989,0.0203873668848355,0.00561797752808989,0.0203873668848355,0.00366697224768731,NA,NA,NA,0.0049230104061315,0.00842907116459996,0.001742950991116,0.00278860234259938,0.00280091011534364,NA,NA,NA,NA,NA
"IN","IND","India","Himachal Pradesh",2020-12-23,100,0,0,0,0,32,94,5853092.5484393,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00479472580161822,NA,NA,NA,0.00459039837035544,0.00443066032462941,0.00160748318198452,0.00319294191929495,0.00251877325084917,NA,NA,NA,NA,NA
"IN","IND","India","Jammu and Kashmir",2020-12-23,100,1,118692.47511014,0,0,31,93,7739253.54213567,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.0153364241737177,0,0,0.00469483568075117,NA,NA,NA,0.00685010725809742,0.00801397302118537,0.00260720491083139,0.00460955997245101,0.00452772943719266,NA,NA,NA,NA,NA
"IN","IND","India","Jharkhand",2020-12-23,100,2,140856.963058794,0,0,10,95,9457978.48594975,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.0148929248748074,0,0,0.00148257968865827,NA,NA,NA,0.00820655109028949,0.00768134050933062,0.00133118992896159,0.000733675797318996,0.00126518127735544,NA,NA,NA,NA,NA
"IN","IND","India","Karnataka",2020-12-23,314,2,256636.89696771,0,0,39,306,21679817.5453243,NA,NA,NA,NA,NA,NA,NA,NA,0.00636942675159236,0.0118375948704909,0,0,0.00179508423087545,NA,NA,NA,0.00512630315113914,0.00506712967039095,0.00156080000962697,0.00110184839334418,0.00129208208824245,NA,NA,NA,NA,NA
"IN","IND","India","Kerala",2020-12-23,222,1,16366.4141863135,0,0,60,212,16107597.6488694,NA,NA,NA,NA,NA,NA,NA,NA,0.0045045045045045,0.00101606797879399,0,0,0.00398618123837364,NA,NA,NA,0.00993520674255462,0.00839043392152354,0.00184295062381681,0.00406039324610402,0.00480189314649682,NA,NA,NA,NA,NA
"IN","IND","India","Madhya Pradesh",2020-12-23,198,1,116843.371248181,0,0,20,187,21641338.596158,NA,NA,NA,NA,NA,NA,NA,NA,0.00505050505050505,0.00539908244256777,0,0,0.00150636438954583,NA,NA,NA,0.0056038550152232,0.00578300610595257,0.00178801450810914,0.00182960581639227,0.00242919678218312,NA,NA,NA,NA,NA
