"country","region","date","Confirmed","Deaths","Recovered","Active","ISO2","ISO3"
"India","Puducherry",2021-01-06,38334,635,37327,372,"IN","IND"
"India","Punjab",2021-01-06,167910,5412,159500,2998,"IN","IND"
"India","Rajasthan",2021-01-06,311111,2723,300690,7698,"IN","IND"
"India","Sikkim",2021-01-06,5951,129,5358,464,"IN","IND"
"India","Tamil Nadu",2021-01-06,823181,12188,803328,7665,"IN","IND"
"India","Telangana",2021-01-06,288789,1559,282177,5053,"IN","IND"
"India","Tripura",2021-01-06,33294,387,32843,64,"IN","IND"
"India","Unknown",2021-01-06,0,0,0,0,"IN","IND"
"India","Uttar Pradesh",2021-01-06,590339,8441,569959,11939,"IN","IND"
"India","Uttarakhand",2021-01-06,92593,1549,87529,3515,"IN","IND"
"India","West Bengal",2021-01-06,557252,9863,538521,8868,"IN","IND"
"India","Meghalaya",2021-01-06,13525,141,13230,154,"IN","IND"
"India","Mizoram",2021-01-06,4256,8,4160,88,"IN","IND"
"India","Nagaland",2021-01-06,11954,80,11737,137,"IN","IND"
"India","Andhra Pradesh",2021-01-06,883876,7125,873855,2896,"IN","IND"
"India","Arunachal Pradesh",2021-01-06,16753,56,16609,88,"IN","IND"
"India","Assam",2021-01-06,216424,1057,212328,3039,"IN","IND"
"India","Bihar",2021-01-06,254014,1420,248410,4184,"IN","IND"
"India","Chandigarh",2021-01-06,20104,323,19525,256,"IN","IND"
"India","Chhattisgarh",2021-01-06,285586,3447,273030,9109,"IN","IND"
"India","Dadra and Nagar Haveli and Daman and Diu",2021-01-06,3379,2,3372,5,"IN","IND"
"India","Delhi",2021-01-06,628352,10625,613246,4481,"IN","IND"
"India","Goa",2021-01-06,51507,744,49893,870,"IN","IND"
"India","Gujarat",2021-01-06,249246,4329,236323,8594,"IN","IND"
"India","Haryana",2021-01-06,263887,2934,258281,2672,"IN","IND"
"India","Himachal Pradesh",2021-01-06,56015,952,53782,1281,"IN","IND"
"India","Jammu and Kashmir",2021-01-06,122049,1900,117690,2459,"IN","IND"
"India","Jharkhand",2021-01-06,116034,1040,113545,1449,"IN","IND"
"India","Karnataka",2021-01-06,924137,12124,902817,9196,"IN","IND"
"India","Kerala",2021-01-06,790882,3209,722421,65252,"IN","IND"
"India","Ladakh",2021-01-06,9589,127,9243,219,"IN","IND"
"India","Lakshadweep",2021-01-06,0,0,0,0,"IN","IND"
"India","Madhya Pradesh",2021-01-06,246048,3670,233862,8516,"IN","IND"
"India","Maharashtra",2021-01-06,1954553,49825,1852759,51969,"IN","IND"
"India","Manipur",2021-01-06,28484,363,27642,479,"IN","IND"
"India","Tamil Nadu",2021-01-07,823986,12200,804239,7547,"IN","IND"
"India","Telangana",2021-01-07,289135,1561,282574,5000,"IN","IND"
"India","Tripura",2021-01-07,33299,388,32852,59,"IN","IND"
"India","Unknown",2021-01-07,0,0,0,0,"IN","IND"
"India","Uttar Pradesh",2021-01-07,590844,8452,570605,11787,"IN","IND"
"India","Uttarakhand",2021-01-07,92842,1555,87978,3309,"IN","IND"
"India","West Bengal",2021-01-07,558173,9881,539816,8476,"IN","IND"
"India","Andaman and Nicobar Islands",2021-01-07,4958,62,4864,32,"IN","IND"
"India","Andhra Pradesh",2021-01-07,884171,7126,874223,2822,"IN","IND"
"India","Arunachal Pradesh",2021-01-07,16757,56,16622,79,"IN","IND"
"India","Assam",2021-01-07,216481,1059,212376,3046,"IN","IND"
"India","Bihar",2021-01-07,254447,1424,248762,4261,"IN","IND"
"India","Chandigarh",2021-01-07,20147,325,19582,240,"IN","IND"
"India","Chhattisgarh",2021-01-07,286596,3454,274283,8859,"IN","IND"
"India","Dadra and Nagar Haveli and Daman and Diu",2021-01-07,3379,2,3372,5,"IN","IND"
"India","Delhi",2021-01-07,628838,10644,614026,4168,"IN","IND"
"India","Goa",2021-01-07,51626,744,49983,899,"IN","IND"
"India","Gujarat",2021-01-07,249913,4332,237222,8359,"IN","IND"
"India","Haryana",2021-01-07,264161,2940,258658,2563,"IN","IND"
"India","Himachal Pradesh",2021-01-07,56146,953,53973,1220,"IN","IND"
"India","Jammu and Kashmir",2021-01-07,122176,1903,117877,2396,"IN","IND"
"India","Jharkhand",2021-01-07,116229,1041,113740,1448,"IN","IND"
"India","Karnataka",2021-01-07,924898,12131,903629,9138,"IN","IND"
"India","Kerala",2021-01-07,795933,3234,728060,64639,"IN","IND"
"India","Ladakh",2021-01-07,9600,127,9258,215,"IN","IND"
"India","Lakshadweep",2021-01-07,0,0,0,0,"IN","IND"
"India","Madhya Pradesh",2021-01-07,246822,3682,234612,8528,"IN","IND"
"India","Maharashtra",2021-01-07,1958282,49897,1856109,52276,"IN","IND"
"India","Manipur",2021-01-07,28531,364,27677,490,"IN","IND"
"India","Meghalaya",2021-01-07,13536,141,13257,138,"IN","IND"
"India","Mizoram",2021-01-07,4259,8,4172,79,"IN","IND"
"India","Nagaland",2021-01-07,11960,82,11747,131,"IN","IND"
"India","Odisha",2021-01-07,331151,1888,327290,1973,"IN","IND"
"India","Puducherry",2021-01-07,38369,636,37374,359,"IN","IND"
"India","Punjab",2021-01-07,168187,5422,159790,2975,"IN","IND"
"India","Rajasthan",2021-01-07,311620,2727,301425,7468,"IN","IND"
"India","Sikkim",2021-01-07,5965,129,5371,465,"IN","IND"
"India","Andaman and Nicobar Islands",2021-01-08,4958,62,4864,32,"IN","IND"
"India","Andhra Pradesh",2021-01-08,884171,7126,874223,2822,"IN","IND"
"India","Arunachal Pradesh",2021-01-08,16757,56,16622,79,"IN","IND"
"India","Assam",2021-01-08,216481,1059,212376,3046,"IN","IND"
"India","Bihar",2021-01-08,254447,1424,248762,4261,"IN","IND"
"India","Chandigarh",2021-01-08,20147,325,19582,240,"IN","IND"
"India","Chhattisgarh",2021-01-08,286596,3454,274283,8859,"IN","IND"
"India","Dadra and Nagar Haveli and Daman and Diu",2021-01-08,3379,2,3372,5,"IN","IND"
"India","Delhi",2021-01-08,628838,10644,614026,4168,"IN","IND"
"India","Goa",2021-01-08,51626,744,49983,899,"IN","IND"
"India","Gujarat",2021-01-08,249913,4332,237222,8359,"IN","IND"
"India","Haryana",2021-01-08,264161,2940,258658,2563,"IN","IND"
"India","Himachal Pradesh",2021-01-08,56146,953,53973,1220,"IN","IND"
"India","Jammu and Kashmir",2021-01-08,122176,1903,117877,2396,"IN","IND"
"India","Jharkhand",2021-01-08,116229,1041,113740,1448,"IN","IND"
"India","Karnataka",2021-01-08,924898,12131,903629,9138,"IN","IND"
"India","Kerala",2021-01-08,795933,3234,728060,64639,"IN","IND"
"India","Ladakh",2021-01-08,9600,127,9258,215,"IN","IND"
"India","Lakshadweep",2021-01-08,0,0,0,0,"IN","IND"
"India","Madhya Pradesh",2021-01-08,246822,3682,234612,8528,"IN","IND"
"India","Maharashtra",2021-01-08,1958282,49897,1856109,52276,"IN","IND"
"India","Manipur",2021-01-08,28531,364,27677,490,"IN","IND"
"India","Meghalaya",2021-01-08,13536,141,13257,138,"IN","IND"
"India","Mizoram",2021-01-08,4259,8,4172,79,"IN","IND"
"India","Nagaland",2021-01-08,11960,82,11747,131,"IN","IND"
"India","Odisha",2021-01-08,331151,1888,327290,1973,"IN","IND"
"India","Puducherry",2021-01-08,38369,636,37374,359,"IN","IND"
"India","Punjab",2021-01-08,168187,5422,159790,2975,"IN","IND"
"India","Rajasthan",2021-01-08,311620,2727,301425,7468,"IN","IND"
"India","Sikkim",2021-01-08,5965,129,5371,465,"IN","IND"
"India","Tamil Nadu",2021-01-08,823986,12200,804239,7547,"IN","IND"
"India","Telangana",2021-01-08,289135,1561,282574,5000,"IN","IND"
"India","Tripura",2021-01-08,33299,388,32852,59,"IN","IND"
"India","Unknown",2021-01-08,0,0,0,0,"IN","IND"
"India","Uttar Pradesh",2021-01-08,590844,8452,570605,11787,"IN","IND"
"India","Uttarakhand",2021-01-08,92842,1555,87978,3309,"IN","IND"
"India","West Bengal",2021-01-08,558173,9881,539816,8476,"IN","IND"
"India","Unknown",2021-01-09,0,0,0,0,"IN","IND"
"India","Uttar Pradesh",2021-01-09,592475,8481,572773,11221,"IN","IND"
"India","Uttarakhand",2021-01-09,93398,1568,88615,3215,"IN","IND"
"India","West Bengal",2021-01-09,559886,9922,541930,8034,"IN","IND"
"India","Andaman and Nicobar Islands",2021-01-09,4959,62,4873,24,"IN","IND"
"India","Andhra Pradesh",2021-01-09,884689,7128,874954,2607,"IN","IND"
"India","Arunachal Pradesh",2021-01-09,16767,56,16647,64,"IN","IND"
"India","Assam",2021-01-09,216565,1060,212486,3019,"IN","IND"
"India","Bihar",2021-01-09,255386,1430,249709,4247,"IN","IND"
"India","Chandigarh",2021-01-09,20251,327,19696,228,"IN","IND"
"India","Chhattisgarh",2021-01-09,288570,3484,275812,9274,"IN","IND"
"India","Dadra and Nagar Haveli and Daman and Diu",2021-01-09,3380,2,3374,4,"IN","IND"
"India","Delhi",2021-01-09,629801,10666,615452,3683,"IN","IND"
"India","Goa",2021-01-09,51790,746,50177,867,"IN","IND"
"India","Gujarat",2021-01-09,251273,4340,238965,7968,"IN","IND"
"India","Haryana",2021-01-09,264721,2949,259209,2563,"IN","IND"
"India","Himachal Pradesh",2021-01-09,56366,958,54320,1088,"IN","IND"
"India","Jammu and Kashmir",2021-01-09,122425,1909,118422,2094,"IN","IND"
"India","Jharkhand",2021-01-09,116672,1045,114133,1494,"IN","IND"
"India","Karnataka",2021-01-09,926767,12138,905158,9471,"IN","IND"
"India","Kerala",2021-01-09,806603,3279,738808,64516,"IN","IND"
"India","Ladakh",2021-01-09,9608,127,9278,203,"IN","IND"
